id,name,text,trans
0-chapter_name,,舞主の本音,舞主的真心
0-synopsis,,宿に戻りアンスリア達と別れた姬塔は、部屋に戻る途中でアンスリアのファンの男達に囲まれ、「アンスリアに近寄るな」と脅されるが、そこにアンスリアとユイシスが駆けつける。アンスリアは「貴方達には興味がないの。姬塔のことが心から好きだから」と己の本音を言葉にし、ショックを受けた男達は無理やりアンスリアを奪おうと襲い掛かって来るのだった。,
1,,アンスリアと共に\n宿に戻ってきた\n姬塔達。,和安苏莉娅一起回到了旅馆的姬塔一行。
2,,その後、姬塔は\nアンスリア達と別れ、\n自分の部屋への道を歩いていた。,之后、姬塔和安苏莉娅她们道了别、向着自己的房间走去。
3,？？？,今だ！\n近くにアンスリアはいねぇ！\n囲んじまえ！,就是现在！\n趁安苏莉娅不在附件！\n围住他！
4,,男の声が響いた瞬間、\n姬塔の周囲を\n数多の男達が取り囲む。,男人的声音响起的瞬间、\n姬塔被很多男人团团围住。
5,男３,コイツがアンスリアの大切な人かよ？\nこんな奴のどこにアンスリアは\n惹かれたんだ？,这家伙就是安苏莉娅重要的人？\n这家伙到底哪儿吸引安苏莉娅了？
6,男２,だよな。こんな奴なんかより、\n俺達の方がアンスリアに相応しいぜ！,就是啊。比起这种家伙、\n明明是我们和安苏莉娅更相配！
7,男４,同感だ！\nテメェみてぇな奴は\nアンスリアに相応しくねぇんだ！,我也这么觉得！\n你这样的人根本配不上安苏莉娅！
8,,そう言うと男は無造作に\n姬塔の胸ぐらをつかむ。,这样说着的男人随意揪住了姬塔前襟。
9,男４,おい、お前！ どうやってアンスリアに\n気に入られたかは知らねぇが、\n今すぐにアンスリアの傍から消えろ！,喂、你！虽然不知道安丝莉亚到底喜欢你哪儿。\n现在就给我从安苏莉娅身边消失吧！
10,男４,そして、金輪際、\nアンスリアの傍に近寄るな！,然后、再也不准接近安苏莉娅！
11,男４,断ったらどうなるか……\nそんな事、言わなくてもわかるよな？,如果你拒绝的话，会发生什么……\n不用我说也知道吧？
12,,男達は姬塔に対し、\n手に持った凶器を見せる。,男人们把手里拿着的凶器、\n拿到了姬塔眼前。
