id,name,text,trans
0-chapter_name,,彼女の真実,彼女の真実
0-synopsis,,「アイツ」の事を聞き出そうとするユイシスの前に、男達のボスが現れる。ボスは状況が掴めないでいる一行に対し、ユイシスが今は亡き「ディートリア組」の一人娘であり、その組を崩壊させた男を追っていると話す。事実を暴露され、一行に隠し事をしていた事を悔いるユイシスだったが、姬塔らは気にもかけず「ユイシスは大切な仲間だ」と声を上げるのだった。,在准备打听出“那家伙”的情报的优希斯面前，男人们的老板出现了。老板面对着还没掌握情况的一行人，告诉了他们“优希斯是现在已经覆灭了的「歌剧组」的独女，正在追寻让组织崩坏的男人”。由于事实的暴露，优希斯对隐瞒此事感到十分后悔，然而姬塔等人毫不在意，对她说出了“优希斯是我们重要的伙伴。”
0,,<span class='scene-font-katari'>ユイシスを囲んでいた男達の全てを</span><br><span class='scene-font-katari'>何とか倒した姬塔達。</span>,总算把围住优希斯的男人们都打倒了的姬塔一行人。
1,,<span class='scene-font-katari'>そんな中、ユイシスは</span><br><span class='scene-font-katari'>倒れた男の一人に近づき、</span><br><span class='scene-font-katari'>その首筋に剣を突き付ける。</span>,在那期间，优希斯靠近了其中一位倒下的男人，用剑抵住了他的脖子。
2,ビィ/碧,お、おい、物騒な姉ちゃん、<br>何してんだよ！,喂，喂，危险的姐姐，你在干啥啊！
3,ルリア/露莉亚,ユイシスさん！,优希斯小姐！
4,ユイシス/优希斯,……少し黙っててくれる？,……能先不要说话吗？
5,ルリア/露莉亚,ユ、ユイシスさん？<br>ど、どうしたんですか？<br>なんだか、その……怖いですよ？,优、优希斯小姐？怎、怎么了？有点，那个……可怕啊？
6,ビィ/碧,そ、そうだぜ、物騒な姉ちゃん？,是、是啊，危险的姐姐？
7,ユイシス/优希斯,……ごめんなさい。,……抱歉。
8,ユイシス/优希斯,それではアイツの事、<br>全て唄ってもらいましょうか？,那么关于那家伙的话，能给我全部坦白了吗？
9,ユイシス/优希斯,ああ……<br>ダンマリを決めたいのであれば、<br>かまいませんよ？,对了……如果你决定沉默的话，我虽然也不是很在意……
10,ユイシス/优希斯,ただし、その時、どうなるかは……<br>説明するまでもないですよね？,但是，到那时候，会发生什么……也不需要我说明了吧？
11,男１,ひっ！？<br>や、やめてくれ！<br>俺は知らないんだ！,咿！？请、请住手！我真的不知道！
12,ユイシス/优希斯,なるほど……<br>黙秘するのですね？,原来如此……是决定沉默是吧？
13,男１,ほ、本当に知らないんだ！<br>ボスから、そう言われただけで！<br>だからっ！,真、真的不知道啊！只是因为老板在这么说！所以！
14,ユイシス/优希斯,そうですか……<br>では、質問を変えましょう。,是这样吗……那么换个问题吧。
15,ユイシス/优希斯,そのボスとやらは、<br>どこにいるのですか？,那个叫老板的家伙，现在在哪里？
18,？？？,なるほどな……<br>お前がアイツの言っていた<br>ヤツか……,原来如此啊……你就是那家伙说的家伙吗……
19,ユイシス/优希斯,貴方は……,你是……
20,男１,<span class='scene-font-4'>ボスー！</span>,老板——！
21,ユイシス/优希斯,なるほど……<br>貴方がボスですか。<br>これは手間が省けましたね。,原来如此……你就是老板吗。真是省下不少功夫了呢。
22,ユイシス/优希斯,では、単刀直入に。<br>アイツは……どこにいますか？,那么，单刀直入地说了。那家伙……现在在哪？
23,ボス,はっ、俺が素直に答えるとでも<br>思ってんのか？,哈，你认为我会老老实实地回答你吗？
24,ユイシス/优希斯,いいえ。<br>ですが、早く答えることを<br>お勧めしますよ。,不。但是，我劝你早点回答的好。
25,ユイシス/优希斯,貴方も空に沈みたくは<br>ないでしょう？,你应该也不想沉到空之低吧？
26,ボス,言うねぇ。はは。<br>流石、あの組の一人娘だな！,真敢说呢。不愧是，那个组的独生女呢！
27,ボス,にしても、アイツをそこまで<br>必死に追いかけているとは……,话说回来，没想到能追那家伙追到这种程度……
28,ボス,やっぱ、復讐か？,果然，是复仇吗？
29,ユイシス/优希斯,……貴方には関係のないことです。,……这事与你无关。
30,ボス,はっ、そう言うわりに<br>怒りで身体が震えてるぜ？,哈，虽然你这样说，你的身体可是气的在发抖啊？
31,ボス,でも、まぁ、そうなるのも<br>当然だよなぁ。,但，也是嘛。会变成这样是当然的嘛。
32,ボス,なんせ、アイツは<br>お前の組を裏切った……<br>潰した原因を作った奴だもんなぁ？,毕竟，那家伙背叛了你的组……成为了你们组崩坏的原因吧？
33,ビィ/碧,組？　潰れた？　復讐？<br>一体、どういうことだよ？,组？崩坏？复仇？究竟，是啥情况啊？
34,ボス,あ？　なんだ？<br>お前ら、コイツの仲間なのに、<br>そんなことも知らねぇのか？,啊？怎么？你们明明是她的伙伴，竟然连这事都不知道吗？
35,ボス,コイツはな、とある街をシメテいた、<br>騎士団「ディートリア組」の頭の<br>一人娘なんだよ。,这家伙可是，在某个街道被通缉的，骑士团「歌剧组」的头头的独生女哦。
36,ボス,まぁ、その組も俺達の親組織との抗争で<br>つぶれちまったがな。,嘛，那个组在与我们父系组织的斗争中被干掉了。
37,ボス,そんで、コイツが目の色を変えて<br>探してる「アイツ」ってのが、<br>組を潰した直接の原因ってわけだ。,然后呢，让这家伙找的眼神都变了的「那家伙」，是让组崩坏的直接原因。
38,ルリア/露莉亚,ユイシス……さん？,优希斯……小姐？
