id,trans
filename,scene_evt220228_cp5_q1_s10
translator,雨降星
info,scene_evt220228_cp5_q1_s10
86,巴德尔只是眯起眼睛注视着那光芒。
85,马德尔的双眼满含笑意，\n映照着林间洒落的碎光，\n熠熠生辉。
81,而且，我已经不是小孩子了。\n我会靠自己的双手，\n去创造更富裕更幸福的生活。
80,战争已经结束了。\n今后，世界会变得越来越好的。
79,会吧……\n虽说可能还需要一点时间。
78,从今往后……\n能想吃多少吃多少了吗？
77,嗯……好吃！
76,马德尔拿出面包掰成两半，\n像从前一样与马德尔分享。
75,嗯，我带来了！
74,胡桃面包。
73,啊哈哈哈！\n那么我问你，你现在想吃什么？
72,看着冥思苦想的巴德尔，\n马德尔不由得笑出声来。
71,说出来……
70,虽然语言相通，\n但你不说我也不知道你在想什么啊。
69,那你也试着把自己的更多想法\n用嘴说出来如何？
68,嗯……谢谢你啦。
67,陪你聊聊天还是可以的。
66,用你的话来说，\n虽然我是兽，也是兵器，\n但我能理解人类的语言。
65,你随意就好。
64,啊——啊！\n抱歉说了些奇怪的话。\n明明战争都结束了啊！
63,马德尔耸了耸肩苦笑道。
62,那真的对心脏很不好。
61,我再也不想看到，\n你满身疮痍的样子了。
60,不……抱歉吼了你。\n大概，是我讨厌那样。
59,是，是吗……？
58,那不是什么无所谓的事好吗！
57,伤……\n不会像你们那样痛，\n也不会轻易致死，所以无所谓。
56,受了伤也会流血……
55,身为星晶兽的你，\n拥有自己的主见，\n也可以把它用语言表达出来。
54,但也没法那么轻易就想通吧。\n因为我是知道的。
53,你啊……老是把话拐到兵器兵器啥的。\n虽然我也不会否定你……
52,人类使用兵器有何不可。
51,而且……大部分星晶兽本就是\n作为兵器被创造出来的。\n兵器为战争而存在。
50,嗯……也对。\n现在还唠叨这些也算是逃避责任的漂亮话了。
49,你说过不论如何都想打赢战争吧。\n结果不是挺好的吗。
48,本该是空之民去打星之民的，\n结果最后，我们还是靠星晶兽才获得了胜利。
47,听到马德尔自言自语般漏出的话语，\n巴德尔将视线从地面上抬起。
46,说到底……我们人类\n到底起了什么作用呢。
42,但是结果上看，马德尔他们的性命，\n以及他们和巴德尔的情谊得到了保全。
41,或许他们的战斗并没有\n给战局带来特别大的影响。
40,遵照弗雷留下的建议，\n直到战争最后，巴德尔都死守着马德尔的军队。
36,因此我们才没失去你，\n伙伴们也没有出现不必要的伤亡。
35,是因为巴德尔警告了我们，\n在阿兹·达哈卡被打倒之前不要轻举妄动。
34,那是凭你的……\n凭你们自己的本事。
33,说到底，我觉得\n我能活着回来全是你的功劳。
32,面对欲言又止的巴德尔，\n马德尔只是轻轻耸了耸肩。
31,（是因为我没有别的地方可去。\n所以，才会来这里。）
30,不，我……
29,战争结束之后，\n也陪在我们身边。
28,为了什么？
27,巴德尔，谢谢你。
26,马德尔在巴德尔身边坐下，\n背倚树干。
25,嗯……算是吧。
24,不，你变了。\n变成……大人了，对吧。
23,不过我这样的，\n在身为星晶兽的巴德尔你眼中，\n不管过多久都像是小孩一样吧。
22,话说，总是小孩小孩的，\n真把我看扁了啊？
21,嗯……是嘛。也有可能。
20,人类的小孩睡得很多。\n十年前我睡觉的时候，\n还是小孩的你正好也在睡而已。
19,是因为那时你还是个小孩子吧。
18,那大概……
17,我只是觉得，\n十年前好像没见过你睡觉。
16,我不是那个意思！
15,我睡个觉很稀奇吗？
14,我觉得你最近总在睡觉。
13,……为什么这么问？
12,巴德尔，你是不是哪里不舒服？
11,嗯……
10,只是，一小会儿。
9,你又一个人消失不见……\n说起来，你刚才在睡觉？
8,找到你了！
6,我在这里，马德尔。
5,背靠着一棵大树的巴德尔缓缓睁开双眼。
4,嗯……马德尔……？
2,喂——！\n巴德尔——！\n巴德尔啊——！
0-synopsis,霸空战争结束，马德尔和蔻娜平安无事地回到了村里。马德尔听从了弗雷留下的忠告，守护马德尔一行人直到最后，现在在村庄附近的森林里过着时不时小睡一阵的生活。马德尔像从前一样和巴德尔分享着核桃面包，为想象中的光明未来欢笑。巴德尔只是眯起眼睛注视着他的模样。
0-chapter_name,第1话 入眠之星
