id,trans
filename,scene_evt210310_cp9_q3_s10
info,scene_evt210310_cp9_q3_s10
64,能用地形名来称呼的\n巨大机神，\n看来是真的打算毁灭空之世界呢。
63,河流啊……
62,……原来如此，是个大事件啊。
61,应该是要把巨大的机神，\n分成小块之后送往空之世界吧。
60,也就是说……
59,我去空之世界的时候也用过。\n那建筑物是用来运送大质量物资的，\n名字是「质量投射器」。
58,我有制作过火箭吧？\n那个火箭的部品，就是从那个建筑物\n分成小块之后送来的。
57,那个很长的建筑物是用来做什么的？
56,根据前往的建筑来看，\n肯定没错。
55,还有，\n是机关所说的，迪亚斯珀拉计划的\n关键性存在。
51,……太庞大了。
50,嗯。本体很像是机神哦，那些东西。
46,等会儿艾扎克。\n你刚才说，是机神？
45,好像是，烟囱……一样的，\n类似塔？
41,大概是，分解槽里面的机神。\n河流到什么地方去了？
40,有什么眉目吗？
39,难不成……
38,嗯。发光的河。
37,你说河？
36,……好像，月球出现了条河。\n从河里涌出好多敌人。
35,Copy.
34,Copy. Recalculate flight path.\nPrioritize fuel economy\nbefore self-defense.
33,"Projecting 45,332 instances of\nincoming fire."
32,"Enemy units: 1,066\nAnalyzing enemy weapon systems."
28,实际上……那个。\n没工夫去汇合地点了。
27,……古茵，你那边情况如何？
26,……拜托你了
25,不必担心。\n会带他回到空之世界。
24,欸……
23,艾扎克不会死的。
22,………………没事。
21,怎么了吗？
20,…………那个。
19,…………
18,…………
17,……是啊。确实是。\n根本来不及阻拦。
16,你搭档的事，我听说了。\n就挺突然的。
15,…………
14,啊……古茵吗。\n嗯，身体没什么问题。
13,……还好吗？ 艾扎克。
12,然后醒了。
11,嗯……呜呜……
6,并不。是重新启动程序。
5,难道受伤了吗！？
4,——没意识。
3,——MAYDAY—\n……能听到吗？ Hallow？\n艾……哈？
0-synopsis,艾扎克醒过来后，以通信报告了姬塔他们现在的状况。向着汇合地点赶去的姬塔一行人，被流出月球表面得迪亚斯珀拉机神产生的敌人追击。迪亚斯珀拉移动向月球到空之世界的物资运送设施，巨大的大炮「质量投射器」。推测打算把自身分解成小块，再用「质量投射器」送去空之世界。
