id,name,text,trans
0-chapter_name,,十天衆を総べし者,总领十天之人
0-synopsis,,巨大な亀との腕試しを終えた姬塔。シエテによると、この亀は十天衆の本部兼ペットであり、姬塔の本部への立ち入りを認めさせるために腕試しをしてもらったのだという。世界の抑止を担う資格がある証として、シエテより十天衆とお揃いの衣装を贈られる姬塔。その後姬塔は懇親会の続きをして楽しい時間を過ごすのだった。,姬塔结束了与巨大乌龟之间的较量。据希耶提所说，这只乌龟是十天众的本部兼宠物，为了让它认可姬塔有资格踏入十天众本部所以才安排了比试。作为能够担当世界的抑制力这一职责的证明，希耶提赠予了姬塔与十天众们同款的服装。在那之后姬塔又回到了联欢会，度过了一段愉快的时光。
1,,<span class='scene-font-katari'>巨大な亀との腕試しを終えて</span><br><span class='scene-font-katari'>シエテの元に戻ってくる</span><br><span class='scene-font-katari'>姬塔。</span>,<span class='scene-font-katari'>结束了与巨大乌龟之间的较量，</span><br><span class='scene-font-katari'>姬塔回到了希耶提身边。</span>
2,,<span class='scene-font-katari'>シエテの傍にはいつの間にか</span><br><span class='scene-font-katari'>十天衆のメンバーが集まっていた。</span>,<span class='scene-font-katari'>不知何时，</span><br><span class='scene-font-katari'>希耶提的身边聚齐了十天众的成员。</span>
3,ソーン/索恩,姬塔大丈夫だった？<br>怪我してない？,姬塔你还好吗？<br>没受伤吧？
4,ニオ/妮欧,安心して。<br>もうあの子は姬塔を<br>攻撃しないから。,放心吧。<br>那孩子已经不会再攻击姬塔了。
5,シエテ/希耶提,お疲れ様。<br>姬塔ちゃんなら<br>やってくれると思ったよー！,辛苦了。<br>我就知道是姬塔酱的话<br>肯定能够做到的啦ー！
6,サラーサ/萨拉萨,シエテ！　シエテ！<br>今の姬塔と前のあたしなら<br>どっちが早く認めさせた？,希耶提！希耶提！<br>现在的姬塔和以前的我比<br>哪一个被更快的认可了？
7,フュンフ/芬芙,あっ！　あちしも聞きた～い！<br>ねぇねぇ、あちしと姬塔<br>どっちが早かった～！？,啊！我也想知道～！<br>喂喂，我和姬塔谁更快啊～！？,
8,シエテ/希耶提,う～んどうだろ？<br>時間とか計ってないからな～,嗯～是怎么样呢？<br>时间什么的我没有计算啊～
9,カトル/卡托尔,あなたも相変わらず<br>悪趣味ですね。,你也是一成不变的恶趣味呢。
10,エッセル/艾瑟尔,ん……こんな危ないことを<br>しなくても、姬塔の力は<br>みんなが認めてるのに。,嗯……明明不用做这样危险的事，<br>大家都已经认可了姬塔的实力了。
11,シエテ/希耶提,んーそれはまぁそうだけどさ、<br>これはなんというか儀式だからね。,嗯——虽然的确是这么个道理啊，<br>这个怎么说呢算是个仪式啦。
12,ウーノ/乌诺,儀式を受けてもらったのは、<br>その力を十分に認めているからこそだ。,正是因为实力已经充分被认同了，<br>所以才要接受这个仪式。
13,ウーノ/乌诺,姬塔を<br>危険な目に遭わせたかった<br>わけではないからね。,目的上来说<br>并不是为了让姬塔陷入危险的情况。
14,オクトー/奥克托,見事なものよ。<br>以前よりもその業前、<br>冴えを増しておるようだ。,无可挑剔。<br>相较之前的身手，<br>你也有长足的进步了。
15,シス/希斯,ふっ……姬塔。<br>お前というヤツは<br>本当に底が知れないな。,哼……姬塔。<br>你这家伙还真是深不见底啊。
16,,<span class='scene-font-katari'>十天衆の皆に温かく迎え入れられた</span><br><span class='scene-font-katari'>姬塔は、気を取り直して</span><br><span class='scene-font-katari'>シエテに詳しい説明を求めた。</span>,<span class='scene-font-katari'>被十天众们热情地迎接的</span><br><span class='scene-font-katari'>姬塔摆正了态势，</span><br><span class='scene-font-katari'>要求希耶提详细说明此事。</span>
17,シエテ/希耶提,ふっふっふっ……<br>説明しよう！,呵 呵 呵……<br>让我来说明吧！
18,シエテ/希耶提,実はこの巨大な亀・テラちゃんは、<br>十天衆の本部兼ペットなんだよね～！,实际上这只巨大的乌龟·特拉酱，<br>是我们十天众的本部兼宠物～！
19,テラちゃん,クォォォォォォン……！,呜嗷嗷嗷嗷嗷……！
20,シエテ/希耶提,こんな巨大なペットの背中に<br>移動式の本部があるんだよ！,在这巨大的宠物背上<br>有我们移动式的本部哟！
21,シエテ/希耶提,どう？　グッと来ない？,怎么样？  是不是很带感？
22,,<span class='scene-font-katari'>嬉々として語るシエテを</span><br><span class='scene-font-katari'>冷やかに見返す姬塔。</span>,<span class='scene-font-katari'>希耶提高兴自满的热脸</span><br><span class='scene-font-katari'>却贴上了姬塔的冷屁股。</span>
23,シエテ/希耶提,コ、コホン……テラちゃんは賢いから、<br>自分が認めた者の匂いを覚えて<br>本部への立ち入り許可を判断してて。,咳、咳咳……特拉酱很聪明，<br>他会记住自己认可的人的气味<br>来判断别人是否有资格进入本部。
24,シエテ/希耶提,だから姬塔ちゃんには<br>テラちゃんとひとつ<br>腕試しをしてもらったって訳さ！,所以才让姬塔酱和特拉酱<br>来进行一场较量！
25,テラちゃん,フゴフゴ……,隆隆隆隆……
26,シエテ/希耶提,おっ、テラちゃんも<br>姬塔ちゃんのことが<br>気に入ったみたいだよ！,喔，<br>特拉酱似乎也十分中意姬塔你哦！
27,,<span class='scene-font-katari'>呆れた様子の姬塔は、</span><br><span class='scene-font-katari'>大きなため息をついた。</span>,<span class='scene-font-katari'>姬塔露出了一副已经受够了的样子，</span><br><span class='scene-font-katari'>大大的叹了一口气。</span>
