id,name,text,trans
0-chapter_name,,エンディング,Ending
0-synopsis,,サメーズを倒した姬塔一行。その数日後、サンダルフォンのもとにアウギュステ区長が現れ、サンダルフォンの過去の罪を消すことはできないとしながらも、今回の件について感謝を述べる。その後、一行は次元の狭間を探す旅に出るサリエルを見送り、アズラエルとイスラフィルの順調な身体の再生を喜ぶ。天司達はそれぞれの道を歩みながら、光ある未来を思い描くのだった。,打倒了鲨鱼汇集体的姬塔一行人。几天后，奥玖莱斯的区长来到圣德芬身边，告知他即使圣德芬过去的罪孽无法被抹消，也想对这次的事件表示感谢。在那之后，一行人目送沙利叶为了寻找次元狭缝而踏上旅途，并为亚兹拉尔和伊斯拉非尔身体顺利的再生着而感到喜悦。天司们各自走在自己的道路上，在心中描绘着充满光辉的未来。
1,ハールート/哈露特,終わったか……,结束了吗……
2,マールート/玛露特,なんとかね。<br>あの集合体はバラバラに散って……<br>再び集まる体力も尽きたみたい。,姑且吧。那个汇集体也四分五裂了……再汇集的体力似乎也耗尽了。
3,アズラエル/亚兹拉尔,わぁい♪<br>ご苦労様でナス！,哇咿♪辛苦茄子！
4,サンダルフォン/圣德芬,ナス……？<br>まぁ必要以上に労力が掛かったが、<br>空の世界は想像以上に未知が多い。,茄子……？嘛虽然消耗了过多不必要的劳力，空之世界比想象中还要充满未知。
5,サンダルフォン/圣德芬,今後は気を引き締めねば。<br>君等も油断せず注意を怠るなよ？,今后也得多加注意才行。你们也别大意，不能放松警惕啊？
6,指教の天司達,は～い！,是~！
7,,<span class='scene-font-katari'>謎の激闘の果て、</span><br><span class='scene-font-katari'>サメーズを退かせた一行。</span>,<span class='scene-font-katari'>谜之激斗的最终，</span><br><span class='scene-font-katari'>众人击退了鲨鱼汇集体。</span>
8,,<span class='scene-font-katari'>体力の尽きた害獣達は、</span><br><span class='scene-font-katari'>個々に海に落ちていき、</span><br><span class='scene-font-katari'>この初夏の騒動に幕がおりた。</span>,<span class='scene-font-katari'>耗尽了体力的害兽们，</span><br><span class='scene-font-katari'>纷纷坠入海中，</span><br><span class='scene-font-katari'>这场初夏的骚动得以落幕。</span>
9,,<span class='scene-font-katari'>その筈だった──</span>,<span class='scene-font-katari'>本应是这样的──</span>
10,サリエル/沙利叶,ブルース……,布鲁斯……
11,ブルース,Sharrrk……！,Sharrrk……！
12,サメハンター,ははは……<br>お前が生きてるとはなぁ。<br>サリエルが匿ってたのか？,哈哈哈……没想到你居然还活着啊。是沙利叶藏起来的吗？
13,サリエル/沙利叶,ごめん……<br>でも解決策が進んでいる今、<br>君達が戦う必要はないんだ。,抱歉……但解决方案也在进行的现在，你们已经没有互相战斗的必要了。
14,海洋学者,そのとおりよ。<br>保護区の設定が叶えばもう……<br>あなた達が争っても意味がないわ。,就是啊。保护区的设计只要完成了就……你们再争斗也没有意义的。
15,サメハンター,そうだな。<br>そのとおりだが……,是啊。虽然话是如此……
16,サメハンター,ブルース。<br>お前は納得できるか？,布鲁斯。你能接受吗？
17,ブルース,<span class='scene-font-4'>Sharrrk！</span>,<span class='scene-font-4'>Sharrrk！</span>
18,サメハンター,だよなぁ。<br>お互い来る所まで来ちまった。,我想也是啊。互相都已经走到这一步了。
19,サメハンター,サメとサメハンター……<br>俺達は決着をつけないと前に進めねえ。,鲨鱼和鲨鱼猎人……我们不互相做个了断就无法前进。
20,ビィ/碧,はぁ……？<br>たぶん進める気がするけど……<br>おっさん自分に酔ってねぇか？,哈……？虽然你们大概是要擅自继续……大叔你是不是太自我陶醉了？
21,ルリア/露莉亚,あ……！<br>この雰囲気は……,啊……！这个感觉是……
22,ルリア/露莉亚,姬塔！<br>樽爆弾を隠さないと──,姬塔！得快点把桶爆弹藏起来──
23,サメハンター,ルリアちゃん。<br>樽は全て使い終わったぜ。,露莉亚。桶爆弹已经都用光了。
24,サメハンター,俺の懐にあるので最後だ！,我怀里的这个就是最后一个了！
25,ルリア/露莉亚,<span class='scene-font-4'>懐……！？</span>,<span class='scene-font-4'>怀里……！？</span>
26,サメハンター,<span class='scene-font-5'>ウオォォォ！</span>,<span class='scene-font-5'>唔噢噢噢噢！</span>
28,ブルース,<span class='scene-font-5'>Sharrrk！</span>,<span class='scene-font-5'>Sharrrk！</span>
30,サンダルフォン/圣德芬,馬鹿！<br>なぜいちいち樽で死にたがる！？,笨蛋！为什么总是那么想因桶爆弹而死！？
31,海洋学者,<span class='scene-font-4'>マーティィィン──</span>,<span class='scene-font-4'>马——汀──</span>
59,,<span class='scene-font-katari'>数日後……</span>,<span class='scene-font-katari'>几天后……</span>
