id,en,jp,trans
0-chapter_name,,第1話 マナリア魔法学院,第一话马纳利亚魔法学院
0-synopsis,,イオからのたってのお願いということでマナリア魔法学院を訪れる姬塔一行。その後、一行は教師のミランダの案内で学院内を見学させてもらい、魔力を安定、増幅させる巨大なコア・モノリスの存在を知る。そこにハンナとウィリアムが現れ、ミランダと何やら話をした後、代わって一行の案内役を担当するのだった。,应伊欧的请求来拜访玛纳历亚学院的姬塔一行。之后，一行人在米兰达老师的带领下参观了学院，知晓了让魔力变得安定，能增幅魔力的存在核心·独石柱。在那里，汉娜和威廉出现了，在与米兰达交谈之后，他们变成了带领一行人的领路人。
1,,へぇー！<br>ここがマナリア魔法学院なのね！,哇！这里就是马纳利亚魔法学院吗！
2,,これが学校なのかぁ？<br>ずいぶん立派なトコなんだなぁ！,这是学校吗？真是个气派的地方！
3,,お城ともお屋敷とも違っていて、<br>不思議な雰囲気の建物ですね。,与城堡，豪宅都不同，它周围有着魔法般的氛围。
4,,<span class='scene-font-katari'>珍しいものを見るかのように</span><br><span class='scene-font-katari'>きょろきょろと周囲を見回す</span><br><span class='scene-font-katari'>姬塔達一行。</span>,姬塔一行人环顾着四周，仿佛看到了稀有的东西。
5,,<span class='scene-font-katari'>一行はイオたっての希望により、</span><br><span class='scene-font-katari'>マナリア魔法学院を訪れていた。</span>,一行人像伊欧希望的那样，拜访了马纳利亚学院。
11,,ねぇねぇ、ちょっといい？,欸欸，稍微来一下
12,,どうしたんですか、イオちゃん？,怎么了，伊欧酱？
13,,あのね、少しお願いがあるの。,那个，有一个小请求。
14,,お願い？<br>改まってどうしたんだよ？,请求？怎么了这么郑重？
15,,今の航路あるじゃない？<br>途中で、マナリア魔法学院がある<br>有名な島のそばを通るんだけど……,现在不是有一个航向吗，在途中，会经过一个有马纳利亚魔法学院的有名的空岛......
16,,マナリア魔法学院？,马纳利亚魔法学院？
17,,ファータ・グランデ空域で<br>いちばん有名な魔法の学校よ。,这是珐拓·格兰蒂空域最有名的魔法学院。
18,,師匠が一流の魔法使いを目指すなら、<br>一度は訪れておけって<br>言ってた場所でね……,师傅说如果目标是成为一流的魔术师的话，那就去拜访一次......
18-sel1_txt,,<span class='scene-font-katari'>じゃあ寄ってみようか</span>,那我们就去一趟吧
18-sel2_txt,,<span class='scene-font-katari'>行ってどうするの？</span>,去了之后呢？
20,,わーい！<br>ありがとう、姬塔！,耶！多谢了，姬塔！
21,,どんなすごい魔法使いが<br>いるのかしらね……<br>楽しみだわ！,想知道都有怎样厉害的魔法师呢......我很期待！
22,,取りあえず中を見学してみたい！<br>あの師匠が絶賛する場所だもの。<br>きっとすごい所だと思うわ！,总之我想拜见一下内部！连我那个师傅都赞不绝口的地方。一定是个好地方！
23,,それに何より、<br>あたしも一流の魔法使いを<br>目指してるから。,而且，我的目标是成为一名一流魔术师。
24,,だから、行ってみたいの！,所以，我想去！
25,,<span class='scene-font-katari'>目を輝かせそう言うイオを見て</span><br><span class='scene-font-katari'>寄り道の提案に承諾する姬塔。</span>,看着眼眸明媚的伊欧姬塔答应顺路去一趟马纳利亚。
26,,ありがとう、姬塔！,多谢了，姬塔！
27,,よーし！<br>それじゃ、行きましょ！<br>マナリア魔法学院へ！,好！那么，我们走吧！去马纳利亚魔法学院！
33,,ほほっ、興味津々と<br>いったところですな。,哈哈，真是兴致高昂啊。
34,,ウフ☆<br>初々しくて可愛いわね～☆,呵呵☆它可爱又宛若新生对吧〜☆
35,,はい！<br>こういう雰囲気のところは初めてで……,嗯！我第一次感受到这种气氛......
36,,ほほっ、なら、<br>今日は存分に見学していくと<br>いいでしょう。,哈哈~那今天好好地参观就好了。
37,,ミラちゃん先生がマナリア魔法学院を<br>隅から隅まで案内してあげちゃうから☆,米兰达老师会带着你们参观马纳利亚学院的各个角落的☆
38,,ありがとうございます、<br>ミランダ先生！<br>ジル教授！,非常感谢，米兰达老师！吉尔教授！
49,,この学院にいる全員が<br>毎日魔法の勉強をしているのよね……<br>そう考えるとなんだかすごいわ。,这座学院里的每个人每天都在学习魔法吧....如果这么想，那这里多厉害啊。
50,,イオさんは独学で魔法の<br>勉強をされていたのですか？,伊欧是自学魔法吗？
51,,いいえ、師匠に教えてもらいました。<br><span class='scene-font-place'>バルツ</span>のザカ大公！,不是的，有师傅指导我。瓦尔兹的扎卡大公！
52,,ほお、ザカ大公ですか。<br>ドラフ族は魔法は得意ではありませんが<br>あの方は突出した才能を持っています。,哦？扎卡大公啊。干旱家庭不擅长魔法，但他有出色的才能。
53,,良い師をお持ちですね。<br>ふふふ……,你有一个好老师。河湖......
