id,name,text,trans
0-chapter_name,,第6柱 蜀犬吠日,第6柱 蜀犬吠日
0-synopsis,,選抜の最終試験、サンカラは勇んで臨んだが、初代子神から本来とは異なる課題を伝えられていた結果、十二戦士あらため「十二神将」にはなれなかった。サンカラは十二神将を恨み、復讐を誓ったのだった。覇空戦争時代を知るバサラや式神達は、サンカラの思い出が脚色されていることや単純に実力不足だったことを指摘するも、サンカラは聞く耳を持たない。そこに突如、上空から巨大な物体が落下するのだった。,桑卡拉英勇地攻克了选拔的最终测试，但由于初代子神向她传达了错误的测试内容，结果导致她未能成为十二战士—— “十二神将”之一。桑卡拉憎恨十二神将，发誓要向其复仇。知晓霸空战争时代的巴萨拉和式神们指出桑卡拉的记忆捏造了很多，她没被选上只是因为实力不足。但桑卡拉对此充耳不闻。就在这时，突然有一个巨大的物体从上空坠落。
1,,初代薬師がふたたび集合をかけ、\n20余名の候補者が集結した。,初代药师再次召集了\n剩下的20余名候选人。
2,初代薬師,お疲れ様。\n候補者がここまでしぼられたから\nもう潰し合いはおしまいでいい。,辛苦了。\n候选人已经得到了最大程度的削减，\n所以不用再互相搏斗了。
3,初代薬師,最終試験の説明をする。\n魔物が巣食う険しい山の上に\nゴールを設けた。,我来说明一下最终测试的内容。\n我在一座魔物出没的险峻山峰上\n设置了一个终点线。
4,初代薬師,そこへ早くたどり着いた12人を\n十二組の隊長に就任させる。,最早到达的十二人将被任命为\n十二支部队的队长。
5,サンカラ/桑卡拉,（ついにここまで来たか！）,（终于走到这一步了吗！）
6,初代薬師,詳しいルールについては\n追って説明する。\n今夜は休んで英気を養ってほしい。,关于详细规则我后面会解释。\n今晚希望你们好好休息，养精蓄锐。
12,,その夜……\nサンカラが滞在する屋敷に\nひとりの訪問者があった。,那天晚上……\n桑卡拉居住的宅邸里来了一位访客。
13,候補者①,やあ！\n夜分遅くに悪いね！,晚上好！\n不好意思这么晚打扰你！
14,サンカラ/桑卡拉,お前か。\nこんな時間に何用だ？\n闇討ちか？,是你啊。\n这个时间来做什么？\n暗杀吗？
15,候補者①,それもおもしろそうだ！\nけど、残念♪\n明日の最終試験に関するお知らせだよ！,这听起来也很有趣！\n但是，很遗憾♪\n我是来发布明天最终测试的通知的！
16,候補者①,日の出からスタートして\n西の山の山頂にある\nゴールを目指すんだって！,从日出开始，\n朝西山山顶的终点进发！
17,サンカラ/桑卡拉,西の山……わかった。\nゴールはどんなものじゃ？,西山……明白了。\n终点是什么样子？
18,候補者①,目印が立ってるみたいだよ！,似乎是立了个标识！
19,サンカラ/桑卡拉,了解した。,明白了。
20,候補者①,かしこみかしこみ～♪,祝你成功~♪
21,サンカラ/桑卡拉,フッ……いよいよだな。\n必ず一着になってみせる。\nそして私が十二戦士のリーダーとなる！,呼……终于来了啊。\n我一定要拿到第一名，\n成为十二战士的领袖！
27,サンカラ/桑卡拉,邪魔だあああぁぁぁぁッ！,碍事啊啊啊啊啊啊！
28,魔物の群れ/魔物群,ギャアアアアァァァァァ……！,嘎啊啊啊啊啊啊啊啊啊啊啊啊……！
21,サンカラ/桑卡拉,フッ……いよいよだな。\n必ず一着になってみせる。\nそして私が十二戦士のリーダーとなる！,呼……终于来了啊。\n我一定要拿到第一名，\n成为十二战士的领袖！
29,サンカラ/桑卡拉,はあ……はあ……\n日が昇ってから\n時間が経ってしまったな……,哈啊……哈啊……\n距离日出已经过去很长时间了啊……
30,サンカラ/桑卡拉,だが……,但是……
31,,サンカラはうしろを振り向くも、\n追いかけてくる気配はなかった。,桑卡拉回头看了看，\n没有人追来的迹象。
32,サンカラ/桑卡拉,ふふ、この魔物の数だ。\nあいつらも泡を食っとるのだろう。,呵呵，这儿的魔物可不少。\n那些家伙大概也吓坏了吧。
33,サンカラ/桑卡拉,よし、登り切ったなら\n一等の私からねぎらいの言葉でも\nかけてやるとするか。,好吧，既然已经登顶了，\n那就由我这个冠军来说几句慰劳的话吧。
34,,そしてサンカラはふたたび駆け出して\n山頂を目指すが、\nその直前に現れたのは……,于是桑卡拉再次向山顶冲去，\n但就在这时，\n出现在他面前的是……
40,巨大な魔物/巨大的魔物,グオオアアァァァァァッ！！,呜嗷嗷嗷嗷嗷嗷！！
41,サンカラ/桑卡拉,<span class='scene-font-4'>なんとぉ！？</span>\nこんな大物まで巣食っていたとは……！,什么！？\n居然还有这样大的家伙盘踞在这里……！
42,サンカラ/桑卡拉,しかし、私は負けん！\n勝負だあああああああぁぁぁぁ！！,但是，我不会输的！\n来决一死战吧啊啊啊啊啊啊啊啊啊啊啊啊！！
43,巨大な魔物/巨大的魔物,ガアアァァァァァッ！！,嘎啊啊啊啊啊啊啊啊！！
49,サンカラ/桑卡拉,か、勝った……\nはぁ……私の敵では……\nなかったな……はぁ……,赢、赢了……\n哈……根本不是……\n我的对手……哈……
50,サンカラ/桑卡拉,さて、目印は……？,那么，标识呢……？
51,,山頂にそれほどスペースはなく、\n植物も生えていないため、\n見通しはきいていたのだが……,山顶没有多少空间，\n也没有植物生长，\n视野很开阔，但是……
52,サンカラ/桑卡拉,む？,嗯？
53,サンカラ/桑卡拉,……なんじゃ？\nなにも立っとらんぞ！,……怎么回事？\n这里什么都没有啊！
54,,どこを見てもなにもなく、\n人工物らしいものはない。,放眼望去，什么都没有，\n看不到任何像是人工制品的东西。
55,サンカラ/桑卡拉,ここがゴールなのか？\nしかし、目印はない……\nこれはいったい……,这里就是终点吗？\n但是，没有标识……\n这到底……
61,サンカラ/桑卡拉,…………,…………
64,初代薬師,晴れて12の戦士が決まった。\nここにいるきみ達だ。\n本当におめでとう。,十二战士终于选拔出来了。\n就是在这里的你们。\n可喜可贺。
65,候補者①,やったね！,太好了！
66,初代薬師,あれほどの魔物がいる中、\nよくぞ東の山を登り切った。,你们克服了数量如此庞大的魔物，\n成功登顶了东边的山。
67,サンカラ/桑卡拉,ひ、が……し……？,东……边……？
70,候補者①,日の出からスタートして\n西の山の山頂にある\nゴールを目指すんだって！,从日出开始，\n朝西山山顶的终点进发！
73,初代薬師,きみ達に正式な名前を進ぜよう。\n今日からきみ達は──,让我为你们正式命名吧。\n从今天开始，你们——
74,初代薬師,「十二神将」だ！,就是 “十二神将”！
75,初代子神,十二神将……！,十二神将……！
76,初代亥神,それが……私達12人の名前……,这就是……我们十二人的名字……
77,初代薬師,それぞれに動物の名を冠し、\n各部隊の名も同じようにしていく。\n……読み上げる。,每个部队都将冠以动物的名字，\n各部队的名字也是如此。\n……我来念一念。
78,初代薬師,ネズミさんチーム、ウシさんチーム、\nトラさんチーム、ウサギさんチーム……,鼠鼠队、牛牛队、\n虎虎队、兔兔队……
79,初代子神,ネーミングセンス♪,命名品味不太行啊♪
80,初代薬師,ダメ？\n……じゃあ、子隊、丑隊、寅隊と\nいった風にしていこうか。,不行吗？\n……那么，就像子鼠队、丑牛队、寅虎队\n这样命名吧。
81,初代犬神,わしは犬隊隊長か！\n強い組にしないとな！,我是戌戌狗队队长吗！\n必须组建一支强大的队伍啊！
82,初代羊神,くふふ、我は羊隊隊長じゃな！\nよいメンツをそろえんといかんのう。,呵呵呵，我是未羊队队长啊！\n我要集结一批优秀的人才。
83,初代薬師,きみ達はその部隊を率い、\n命を賭して星と戦ってほしい。,我希望你们能率领各自的部队，\n赌上性命与星世战斗。
