id,name,text,trans
0-chapter_name,,第1話 OS Activated. cmd?,第1话 OS Activated. cmd?
0-synopsis,,アイザックとω３は、月の拠点で姬塔達を観察していた。月に無事着陸した姬塔達は空の世界と異なる環境に戸惑いながらも、襲い来る無人機を迎撃するのだった。,艾扎克与ω3在月之据点内观察着姬塔一行。平安降落在月面的一行人一边疑惑着与空之世界截然不同的环境，一边迎击着无人机。
3,アナウンス/播报音,光学兵器照射。\n敵機体、損害確認できず。,光学兵器照射。\n敌机没有损害。
4,アイザック/艾扎克,……さすがにレーザーなんか\nものともしないなあ。,……果然射线什么的完全不起作用啊。
5,エルド/埃尔德,そうだねぇ……\n昔の人は壊れない兵器を\n造る気だったみたいだ……,是啊……以前的人好像想制造出完全打不坏的兵器……
6,エルド/埃尔德,でも、見えるよぉ……\n機神はぜーんぶ、壊れるねぇ……,但是我能看到哦……\n机神们全部被摧毁了呢……
7,アイザック/艾扎克,ああ。君達からすれば、\n重装甲の機神は動きが鈍すぎる。\n大した脅威にはならないだろう。,是啊。在你们看来\n重装甲的机神们行动迟缓\n完全构成不了威胁吧。
8,エルド/埃尔德,そうかぁ……\nだから君は、\nこれから提案するんだねぇ……？,是吗……所以你\n现在准备提交意见吗……？
9,アイザック/艾扎克,え？　ああ。\n僕が切り出す前に\n見ちゃったのか。,诶？啊。\n你看出来我要干什么了啊。
10,エルド/埃尔德,うん。見えたよぉ……\n君に相談される未来が……\n大丈夫。許可は下りるからねぇ……,嗯。我看到咯……\n和你谈话的未来……\n没问题，上级会许可的哦……。
11,アイザック/艾扎克,そうか。\nじゃあ、遠慮なくやらせてもらうよ。,是吗，\n那我就不客气了。
12,エルド/埃尔德,コストを無駄にしなくて済むねぇ……\n資源の組み立てにも\nエネルギーを使うから……ら……,毕竟不用浪费资源就能结束……\n重组资源也需要能量呢……呢……
13,エルド/埃尔德,ら……ら……ら……らっ……\nああ……っう……,能……能……量……呢……\n啊啊……呜……
14,アイザック/艾扎克,……エルド？,……埃尔德？
15,エルド/埃尔德,あぁーぁ……たまにね、\n干渉しちゃうんだ。\n君のノイズに……,……唉……偶尔……\n会被你的杂音干涉。
16,エルド/埃尔德,ほら君。幽世の肉を食べたよねぇ……\nあれが、僕の意識に\nノイズを送ってくるみたいで……,你啊……不是吃了幽世的肉吗……\n那个东西似乎在向我的意识发射杂音……
17,アイザック/艾扎克,あ……ああ。あれか……\nすまないね……,啊……那个啊……\n真是抱歉……。
18,エルド/埃尔德,すまないねぇ……\nすまないよぉ……,真是抱歉呢……\n真是抱歉啊……
19,エルド/埃尔德,さっさと捨てろよその体。,那个破烂身体还不赶紧给我扔了。
20,アイザック/艾扎克,…………！,…………！
21,エルド/埃尔德,じゃあ僕は……\n君の提案を、\n上に申請してくるねぇ……,那我……\n就跟上级申请你的意见去咯……
25,エルド/埃尔德,ノイズ……ノノのいっ……\nあぅかっっ……ううー……\nういっ、幽世ぉ～……,杂音……杂杂音音……\n啊呜呜……呜……幽世~
27,アイザック/艾扎克,…………,…………
28,レイベリィ/雷贝利,肝が冷えるな。,真可怕啊。
29,アイザック/艾扎克,ああ。彼が何を見てるのか、さっぱり\n判らないからね……僕のプライバシーは\n守られてるのかいないのか……,是啊，完全猜不透他看到了什么………\n我的个人隐私有没有被保护好啊……
31,アナウンス/播报音,敵機体、まもなく着陸します。,敌机马上就要着陆。
32,アイザック/艾扎克,……さて。次のプランといくか。\nまずは……,……那么就开始下个计划吧。\n首先……
33,レイベリィ/雷贝利,無人機で迎撃か？,用无人机迎击吗？
34,アイザック/艾扎克,ビンゴだ、相棒。,没错，我的搭档。
35,レイベリィ/雷贝利,了解した。,了解。
37,アナウンス/播报音,敵機、レーザー照射角から外れました。\nオペレーター・レイベリィの要請承認。\n無人機アの１号から順次出撃します。,敌机离开了射线兵器照射区域。\n许可操作人员·雷贝利的请求，\n从无人机阿1号开始出击。
38,アイザック/艾扎克,これで向こうはどう出てくるかな。,他们会怎样应对呢。
39,レイベリィ/雷贝利,見物といこうか。,让我们见识见识吧。
45,バザラガ/巴萨拉卡,これが月、か……\n砂漠か荒野と変わらんように見える。,这就是月吗……\n看上去和沙漠还有荒野没什么不同。
46,イルザ/伊尔莎,<span class='scene-font-gray'>旅行で胸躍らせている時間など\n<span class='scene-font-gray'>１秒もないぞ。アイザックとの\n<span class='scene-font-gray'>合流地点へ急げ。,<span class='scene-font-gray'>现在可没有时间让你因为旅行兴奋啊，\n<span class='scene-font-gray'>赶快去和艾扎克汇合的地方。
47,バザラガ/巴萨拉卡,了解。,了解。
