path,trans,duration,note
voice/3040030000_s1_birthday2,Happy Birthday。,1,生日
voice/3040030000_s1_birthday3,生日快乐。,1,
voice/3040030000_s1_birthday0,从今往后，你也朝自己期望的那样不断成长就行了。为了让未来的自己不失望。,8,
voice/3040030000_s1_birthday1a,自己诞生的日子是个非常重要的日子。绝对不可以轻视哦。,7,
voice/3040030000_s1_halloween2,万圣节快乐！,2,万圣
voice/3040030000_s1_halloween3,不给糖就捣蛋！,2,
voice/3040030000_s1_halloween0,万圣节？与死者共舞的节日吗，让人很感兴趣啊。,7,
voice/3040030000_s1_halloween1,变装用服装的准备，糖果装篮，这个时期的商人一直都超忙。\n想必榭洛也正在发出高兴的喊声吧。,10,
voice/3040030000_s1_christmas0,圣诞老人他通过礼物，为全世界都带去了笑容。\n我希望能够见他一次好好聊聊。,10,圣诞
voice/3040030000_s1_christmas1,如果每天都是平安夜的话，说不定争斗就会从这个世界上消失……,7,
voice/3040030000_s1_christmas2,圣诞快乐,2,
voice/3040030000_s1_newyear0,你去初诣了吗？\n就算自己的目标自己完成，偶尔为世界祈祷也不错哦。,12,新年
voice/3040030000_s1_newyear1,新年的时候吃的年节菜里包含了很多愿望，这世界上很多日常也有各种含义哦。,11,
