id,name,detail
npc,伊休米尔,3040100000
special,寒冰冲击,水属性伤害(特大)/消耗所有「冰剑」
special-マロス・ブラスト,极寒冲击,<div class=prt-text-small>水属性伤害(特大)/消耗5层「冰剑」自身以外的水属性角色获得「梦冰剑」(最大2层)<br><span class=text-blue>◆水属性角色根据「梦冰剑」层数获得奥义性能UP</span></div>
skill-1,尼夫海姆,对敌方单体造成水属性伤害/自身获得1层「冰剑」/攻击力UP(累积)
skill-2,离别,我方全体获得暴击率UP<span class=text-blue>◆自身消耗奥义值(20%)</span>
skill-2++,离别,我方全体获得暴击率UP/会心效果/活性效果
skill-3,矢志,自身获得奥义值上升量UP/敌对心DOWN
skill-3+,矢志,<div class=prt-text-small>自身获得屏障效果/防御力UP/连续攻击率UP/暴击率UP/弱化免疫/奥义值上升量UP/敌对心DOWN<span class=text-blue>◆屏障效果消失时解除效果</span></div>
support-1,纯白剑锋,自身每2回合获得1层「冰剑」(最大5层)/根据「冰剑」层数获得奥义性能UP
support-2,冷若冰霜,自身获得对火属性目标伤害UP<span class=text-blue>◆与天司武器效果无法叠加</span>
support-2+,冷若冰霜,<div class=prt-text-small>我方水属性角色获得对火属性目标伤害UP/暴击时伤害上限UP<br><span class=text-blue>◆仅前排有效/与天司武器效果无法叠加</span></div>
skill-lb,LB技能,使用「离别」时概率获得1层「冰剑」
intro,冰室的守护者,遵从村子里的严格戒律，少女被作为祭品献祭。她面对孤独，接受了命运。随后她预见了在天空自由翱翔的骑空士，为了让自己的生命能够善终，决定踏上旅途。
