id,name,detail
npc,高文,3040000000
special,闪刃乱舞,风属性伤害(特大)
special-絶閃嵐破,绝闪岚破,风属性伤害(特大)/我方全体获得屏障效果(500)
special-Flashstorm Destruction,绝闪岚破,风属性伤害(特大)/我方全体获得屏障效果(500)
skill-1,粉碎,对敌方单体造成1.5~2倍风属性伤害/敌方攻击20%DOWN
skill-1+,粉碎,对敌方单体造成2~2.5倍风属性伤害/敌方攻击20%DOWN
skill-1++,粉碎,对敌方单体造成2.5~3倍风属性伤害/敌方攻击25%DOWN
skill-2,逆反,对敌方单体造成1~4倍风属性伤害<span class=text-blue>◆我方总HP越低，伤害越高</span>
skill-2+,逆反,对敌方单体造成2~20倍风属性伤害<span class=text-blue>◆我方总HP越低，伤害越高</span>
skill-3,位高任重,减免我方全体受到的伤害60%
skill-3+,位高任重,减免我方全体受到的伤害70%
support-1,无为封缚,防御10%UP
support-2,高贵的守护者,减免我方全体受到的土属性伤害10%
skill-lb,LB技能,普攻时有概率使敌方攻击DOWN(累积)
intro,,自负的青年对不可辜负者拔刀相向，遭受诅咒。为解开诅咒，青年只有不断违心地积累善行。然而青年尚未理解此举的深意，迟迟无法如愿。
