id,name,text,trans
0-chapter_name,,お使い猫耳少女,奉命行事的猫耳少女
0-synopsis,,ある日、行方不明の仲間を探していたキャルは、以前魔物を退治しようとしていた街の子供達と再会する。しかし遊びに夢中になっていた子供達はとある屋敷の植木鉢を破壊してしまい、屋敷の主人である成金が「この鉢は非常に高価な美術作品なんだ」と言って高額な弁償代を払わせようとする。見かねたキャルは成金に「自分が代わりに鉢の代金分働く」と宣言するのだった。,
1,,グルメ街の表通りから離れた住宅街には\nご馳走を求める観光客の姿もなく、\nのどかな昼下がりの空気が流れる。,在远离美食街的马路的住宅街里，并无寻求美食的游客，午后空气流淌着宁静悠闲。
2,,ギルド【美食殿】のキャルは\nそんな閑静な街の一角を歩きながら\n今日も行方不明の仲間を探すのだった。,公会【美食殿堂】的凯露在幽静街道的一处，今天也同样寻找着那行踪不明的同伴。
3,キャル/凯露,観光地の騒々しさにも飽きてきたし、\nこの辺は気分がいいけど……\n望み薄かしら？,已经受够了那观光处的嘈杂声，虽然这边让人感觉心情还不错……不过在这里找到人是不是没什么可能呢？
4,キャル/凯露,あいつってにぎやかなところを\nウロウロしてそうな気がするのよね……\nなにせ子供っぽいヤツだし……,总觉得那家伙会到那热闹的地方逛来逛去的……怎么说也跟小孩子没两样……
5,,やはり表通りへ戻るべきかと\nキャルが考えていた時だった。,就在凯露想着果然还是应该回路上时。
6,？？？,わあっ！,哇沃！
8,キャル/凯露,<span class='scene-font-4'>ぎゃああああああっ！？</span>\nびびび、びっくりした！,<span class='scene-font-4'>呀啊啊啊啊啊啊！？</span>\n吓吓吓、吓死了个人了！
9,子供２/孩子２,あははははっ！\nびっくりしたって！,啊哈哈哈哈！\n她说吓死了个人了！
10,子供３/孩子３,びっくりした！　びっくりした！,吓死了个人！吓死了个人！
11,,キャルを背後から驚かせたのは\n以前、魔物退治に挑んだ\nグルメ街に住む子供達であった。,从凯露背后吓到她的是之前住在美食街那个挑战击退魔物的孩子们。
12,キャル/凯露,あんた達～……！,你们几个~……！
13,キャル/凯露,…………,
16,キャル/凯露,（そういえば……あいつにも\nこんな風に驚かされたことが\n何度かあったっけ……）,（说起来……像这样子被那家伙吓唬有好几次了……）
18,キャル/凯露,（あいつっていきなり現れるのよねぇ。\nホント……やってることが子供と\nちっとも変わらないんだから……）,（他突然跑出来吓人呢。\n真的……和小孩子别无二致呢……）
19,子供２/孩子２,お姉ちゃん、どうかしたの？,姐姐，你怎么了吗？
20,キャル/凯露,なんでもないわよ。\nっていうか、あんた達こそ\nここでなにしてんのよ？,没什么。\n话说回来，你们在这干什么呢？
21,子供３/孩子３,探検だよ～！\nここら辺、来たことなかったから！\nお姉ちゃんも遊ぼうよ！,当然是探险了～！这边我们都没来过！姐姐也和我们一起玩吧！
22,キャル/凯露,あたしは忙しいの。\n子供には構っていられないわ。,我忙着呢。没空跟你们闹。
23,子供１/孩子１,なにしてたの？,什么事呢？
24,キャル/凯露,あたしの仲間が行方不明なのよ。\nあんた達みたいに\nふらふらしてるヤツで──,我的同伴不知道哪去了。就跟你们一样漫无目的晃来晃去的——
25,子供２/孩子２,おーい！\nこっちこっち！\n公園があるぞー！,喂——！这里这里！这边有公园哦——！
27,子供３/孩子３,わーい！,知道了！
30,キャル/凯露,話聞かないなら質問すんな！,不听你们也别问啊！
31,,子供達は近くの広場へ\n勢いよく駆けだしていったが──,孩子们一股脑地向附近的广场跑了过去——
32,キャル/凯露,……って、ちょっと待ちなさいよ。\nそこって公園じゃなくて\nそのお屋敷の庭じゃない？,……喂，你们得给我等等啊。那不是公园，是别人家的院子啊。
33,,奥にひときわ大きな屋敷が構えており、\n手前に広がるきれいに整備された庭を\n子供達は公園と勘違いしているようだ。,最里面有个格外大的住宅，孩子们好像误以为面前这宽广整洁的院子是公园。
